shard1,shard2,shard3,shard4,shard5,total
16149,19,3832,0,0,20000
20044,37,7689,12230,0,40000
17855,55,11448,18362,12280,60000
23844,73,15190,24387,16506,80000
29758,95,18989,30567,20591,100000
35721,111,22816,36713,24639,120000
41524,131,26709,42801,28835,140000
47372,146,30469,49019,32994,160000
53247,165,34309,55145,37134,180000
59172,189,38055,61241,41343,200000
65080,212,41791,67400,45517,220000
71085,224,45480,73467,49744,240000
76988,18386,49342,61342,53942,260000
82902,19794,53188,66064,58052,280000
88819,21245,56995,70741,62200,300000
77153,22669,78497,75391,66290,320000
81939,24130,83324,80176,70431,340000
86792,25546,88265,84855,74542,360000
91650,26968,93177,89566,78639,380000
96481,28454,98091,94304,82670,400000
101348,29825,103046,99003,86778,420000
106298,31292,107878,103670,90862,440000
111245,32745,112773,108258,94979,460000
116001,34195,117798,112945,99061,480000
120903,35667,122594,117705,103131,500000
