shard1,shard2,shard3,shard4,shard5,total
13399,3,6598,0,0,20000
16230,6,13173,10591,0,40000
14447,8,19754,15828,9963,60000
19273,8,26330,21058,13331,80000
24112,9,20276,26349,29254,100000
28916,11,24406,31550,35117,120000
33659,13,28547,36817,40964,140000
38419,14,32620,42085,46862,160000
43305,16,36662,47335,52682,180000
48072,17,40747,52480,58684,200000
52826,20,44870,57794,64490,220000
57547,20,49004,63014,70415,240000
62285,20,53084,68183,76428,260000
67131,20,57157,73347,82345,280000
72019,17733,61216,78522,70510,300000
76768,18961,65355,83788,75128,320000
81544,20148,69503,89039,79766,340000
86408,21306,73667,94293,84326,360000
91166,22519,77711,99616,88988,380000
95996,23703,81754,104866,93681,400000
100835,24851,85837,110173,98304,420000
105744,26041,89865,115424,102926,440000
110686,27227,93910,120582,107595,460000
98300,45616,98035,125825,112224,480000
102349,47534,102099,131100,116918,500000
