shard1,shard2,shard3,shard4,shard5,total
385,427,404,397,387,2000
775,845,803,806,771,4000
1188,1251,1231,1186,1144,6000
1584,1631,1631,1637,1517,8000
1987,2007,2035,2041,1930,10000
2363,2420,2430,2454,2333,12000
2789,2849,2828,2848,2686,14000
3173,3265,3216,3270,3076,16000
3589,3643,3610,3690,3468,18000
3986,4042,4020,4106,3846,20000
4375,4458,4454,4499,4214,22000
4773,4880,4856,4898,4593,24000
5171,5259,5293,5316,4961,26000
5565,5662,5726,5694,5353,28000
5956,6084,6128,6107,5725,30000
6350,6490,6526,6523,6111,32000
6759,6879,6920,6908,6534,34000
7179,7314,7259,7322,6926,36000
7543,7720,7675,7716,7346,38000
7936,8112,8072,8113,7767,40000
8347,8538,8475,8476,8164,42000
8761,8926,8889,8869,8555,44000
9170,9322,9294,9243,8971,46000
9546,9755,9695,9642,9362,48000
9978,10134,10089,10031,9768,50000
