shard1,shard2,shard3,shard4,shard5,total
373,415,417,409,386,2000
786,779,837,821,777,4000
1186,1190,1197,1229,1198,6000
1600,1571,1583,1650,1596,8000
1999,1998,2000,2033,1970,10000
2399,2380,2396,2427,2398,12000
2766,2766,2799,2837,2832,14000
3155,3167,3198,3240,3240,16000
3519,3557,3608,3666,3650,18000
3932,3949,4027,4061,4031,20000
4327,4320,4427,4490,4436,22000
4671,4720,4850,4896,4863,24000
5087,5087,5239,5324,5263,26000
5499,5464,5642,5711,5684,28000
5894,5876,6060,6120,6050,30000
6322,6277,6468,6503,6430,32000
6713,6672,6874,6921,6820,34000
7101,7061,7264,7333,7241,36000
7497,7504,7650,7723,7626,38000
7898,7941,8046,8102,8013,40000
8304,8363,8431,8497,8405,42000
8675,8783,8848,8913,8781,44000
9086,9183,9250,9321,9160,46000
9483,9563,9682,9696,9576,48000
9880,9931,10100,10098,9991,50000
