shard1,shard2,shard3,shard4,shard5,total
396,419,415,393,377,2000
803,802,836,768,791,4000
1171,1202,1235,1186,1206,6000
1582,1628,1630,1551,1609,8000
1997,2051,2026,1932,1994,10000
2382,2449,2425,2326,2418,12000
2772,2855,2823,2738,2812,14000
3177,3271,3214,3159,3179,16000
3583,3684,3608,3557,3568,18000
3990,4088,4031,3946,3945,20000
4375,4498,4397,4375,4355,22000
4779,4907,4812,4770,4732,24000
5159,5321,5203,5183,5134,26000
5542,5726,5603,5588,5541,28000
5934,6100,6010,5992,5964,30000
6325,6503,6410,6402,6360,32000
6756,6898,6780,6821,6745,34000
7153,7318,7188,7205,7136,36000
7535,7716,7589,7614,7546,38000
7959,8111,7971,8016,7943,40000
8359,8522,8378,8401,8340,42000
8727,8919,8759,8807,8788,44000
9122,9309,9177,9199,9193,46000
9545,9719,9569,9601,9566,48000
9927,10100,9999,10006,9968,50000
