shard1,shard2,shard3,shard4,shard5,total
385,364,418,397,436,2000
790,751,808,801,850,4000
1177,1134,1197,1228,1264,6000
1562,1537,1590,1637,1674,8000
1957,1964,1993,2027,2059,10000
2359,2354,2395,2445,2447,12000
2754,2766,2793,2843,2844,14000
3161,3209,3170,3224,3236,16000
3526,3655,3560,3638,3621,18000
3921,4060,3967,4044,4008,20000
4292,4470,4384,4447,4407,22000
4694,4873,4790,4862,4781,24000
5098,5275,5173,5276,5178,26000
5494,5691,5578,5652,5585,28000
5859,6142,5968,6056,5975,30000
6290,6519,6387,6459,6345,32000
6701,6907,6801,6871,6720,34000
7085,7286,7179,7315,7135,36000
7473,7669,7589,7742,7527,38000
7840,8073,8008,8161,7918,40000
8217,8477,8416,8572,8318,42000
8607,8884,8799,8991,8719,44000
9002,9280,9198,9374,9146,46000
9426,9693,9547,9777,9557,48000
9817,10099,9920,10185,9979,50000
