shard1,shard2,shard3,shard4,shard5,total
387,398,376,432,407,2000
800,788,777,823,812,4000
1201,1149,1165,1267,1218,6000
1585,1578,1554,1669,1614,8000
1978,1965,1961,2077,2019,10000
2412,2400,2320,2463,2405,12000
2794,2804,2746,2889,2767,14000
3165,3203,3177,3258,3197,16000
3560,3565,3605,3671,3599,18000
3937,3956,4025,4071,4011,20000
4336,4345,4438,4498,4383,22000
4758,4750,4829,4874,4789,24000
5128,5163,5212,5256,5241,26000
5534,5560,5619,5660,5627,28000
5942,5970,6008,6023,6057,30000
6325,6368,6421,6437,6449,32000
6728,6759,6834,6839,6840,34000
7113,7177,7255,7209,7246,36000
7566,7548,7653,7598,7635,38000
7925,7960,8076,8003,8036,40000
8322,8361,8441,8412,8464,42000
8709,8780,8861,8789,8861,44000
9099,9180,9231,9202,9288,46000
9492,9583,9625,9625,9675,48000
9882,9970,10050,10037,10061,50000
