shard1,shard2,shard3,shard4,shard5,total
410,384,411,415,380,2000
822,820,789,808,761,4000
1204,1247,1199,1215,1135,6000
1600,1640,1600,1602,1558,8000
2009,2062,2004,1984,1941,10000
2414,2462,2405,2371,2348,12000
2840,2875,2776,2767,2742,14000
3242,3295,3190,3157,3116,16000
3624,3705,3593,3518,3560,18000
4025,4098,4001,3922,3954,20000
4424,4531,4408,4304,4333,22000
4803,4907,4840,4694,4756,24000
5205,5301,5223,5114,5157,26000
5578,5685,5627,5558,5552,28000
5976,6080,6004,5993,5947,30000
6362,6462,6415,6402,6359,32000
6738,6869,6820,6823,6750,34000
7164,7250,7227,7205,7154,36000
7562,7650,7635,7604,7549,38000
7943,8044,8047,8001,7965,40000
8353,8451,8447,8387,8362,42000
8769,8827,8839,8777,8788,44000
9171,9224,9253,9171,9181,46000
9583,9606,9663,9554,9594,48000
9996,9993,10050,9942,10019,50000
