shard1,shard2,shard3,shard4,shard5,total
420,443,385,392,360,2000
859,855,768,777,741,4000
1252,1272,1164,1161,1151,6000
1650,1679,1558,1549,1564,8000
2063,2052,1935,1972,1978,10000
2480,2447,2339,2357,2377,12000
2844,2879,2732,2757,2788,14000
3231,3292,3143,3158,3176,16000
3634,3702,3544,3540,3580,18000
4024,4109,3956,3919,3992,20000
4420,4518,4368,4329,4365,22000
4834,4919,4753,4726,4768,24000
5257,5326,5144,5118,5155,26000
5677,5725,5551,5515,5532,28000
6086,6116,5946,5928,5924,30000
6519,6498,6365,6318,6300,32000
6915,6911,6750,6716,6708,34000
7307,7287,7167,7096,7143,36000
7721,7675,7582,7491,7531,38000
8142,8070,7961,7898,7929,40000
8535,8464,8381,8309,8311,42000
8942,8866,8786,8695,8711,44000
9354,9276,9182,9093,9095,46000
9764,9703,9584,9469,9480,48000
10148,10120,9950,9881,9901,50000
