shard1,shard2,shard3,shard4,shard5,total
19668,21,311,0,0,20000
22975,38,647,16340,0,40000
20110,50,973,24565,14302,60000
27041,60,1287,32549,19063,80000
20103,13742,20444,21932,23779,100000
24232,16458,24526,26233,28551,120000
28253,19240,28543,30593,33371,140000
32312,21956,32581,35050,38101,160000
36229,24715,36678,39499,42879,180000
40229,27532,40667,43874,47698,200000
44246,30295,44781,48217,52461,220000
48335,33148,48811,52549,57157,240000
52327,35994,52974,56814,61891,260000
56362,38752,56999,61250,66637,280000
60338,41531,61036,65680,71415,300000
64417,44288,65114,70077,76104,320000
73963,47031,63656,74534,80816,340000
78338,49844,67421,78760,85637,360000
82808,52633,71097,83189,90273,380000
87092,55362,74945,87529,95072,400000
91398,58206,78669,91870,99857,420000
95704,60906,82473,96308,104609,440000
92521,71179,86186,100629,109485,460000
96595,74296,90008,104904,114197,480000
100598,77372,93843,109199,118988,500000
