shard1,shard2,shard3,shard4,shard5,total
4085,3993,3982,3943,3997,20000
8071,7961,8010,7933,8025,40000
12092,11908,11947,11889,12164,60000
16116,15973,15819,15975,16117,80000
20108,20012,19744,19981,20155,100000
24168,24068,23730,23963,24071,120000
28186,28024,27812,27901,28077,140000
32163,32127,31815,31901,31994,160000
36201,36142,35787,35801,36069,180000
40190,40125,39843,39799,40043,200000
44167,44163,43889,43743,44038,220000
48159,48063,47879,47870,48029,240000
52181,52046,51987,51793,51993,260000
56127,56085,55971,55753,56064,280000
60193,60137,59967,59661,60042,300000
64221,64153,63910,63661,64055,320000
68214,68264,67847,67562,68113,340000
72147,72368,71913,71417,72155,360000
76037,76384,75904,75453,76222,380000
80021,80355,79955,79479,80190,400000
84053,84333,83987,83468,84159,420000
87977,88341,88003,87543,88136,440000
92080,92281,92101,91449,92089,460000
96158,96202,96208,95476,95956,480000
100210,100104,100270,99423,99993,500000
